Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S250914906,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,09:28 AM,eBird - Casual Observation,,0,,,1
S250914450,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:29 PM,eBird - Casual Observation,,0,,,1
S250914216,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:35 PM,eBird - Casual Observation,,0,,,1
S250912949,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:43 PM,eBird - Casual Observation,,0,,,1
S250913888,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:43 PM,eBird - Casual Observation,,0,,,1
S250912742,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,05:24 PM,eBird - Casual Observation,,0,,,1
S250909679,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-19,08:43 AM,eBird - Casual Observation,,0,,,1
S250909391,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-19,06:10 PM,eBird - Casual Observation,,0,,,1
S250907641,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-12-22,10:30 AM,eBird - Casual Observation,,0,,,1
S250906157,European Starling,Sturnus vulgaris,27571,X,US-TX,Travis,L47746401,Joe Sayer’s Tree,30.325708,-97.736916,2025-05-10,07:15 PM,eBird - Casual Observation,,0,,,1
S250912214,European Starling,Sturnus vulgaris,27571,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:12 AM,eBird - Casual Observation,,0,,,1
S250912013,European Starling,Sturnus vulgaris,27571,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:21 AM,eBird - Casual Observation,,0,,,1
S250911530,Gray Catbird,Dumetella carolinensis,27758,X,US-TX,Travis,L47748743,Zilker Park,30.268443,-97.770045,2024-03-23,02:56 PM,eBird - Casual Observation,,0,,,1
